Gemeentecode,Gemeente,Provinciecode,Provincie
1680,Aa en Hunze,22,Drenthe
358,Aalsmeer,27,Noord-Holland
197,Aalten,25,Gelderland
59,Achtkarspelen,21,Friesland
482,Alblasserdam,28,Zuid-Holland
613,Albrandswaard,28,Zuid-Holland
361,Alkmaar,27,Noord-Holland
141,Almelo,23,Overijssel
34,Almere,24,Flevoland
484,Alphen aan den Rijn,28,Zuid-Holland
1723,Alphen-Chaam,30,Noord-Brabant
1959,Altena,30,Noord-Brabant
60,Ameland,21,Friesland
307,Amersfoort,26,Utrecht
362,Amstelveen,27,Noord-Holland
363,Amsterdam,27,Noord-Holland
200,Apeldoorn,25,Gelderland
3,Appingedam,20,Groningen
202,Arnhem,25,Gelderland
106,Assen,22,Drenthe
743,Asten,30,Noord-Brabant
744,Baarle-Nassau,30,Noord-Brabant
308,Baarn,26,Utrecht
489,Barendrecht,28,Zuid-Holland
203,Barneveld,25,Gelderland
888,Beek,31,Limburg
1954,Beekdaelen,31,Limburg
370,Beemster,27,Noord-Holland
889,Beesel,31,Limburg
1945,Berg en Dal,25,Gelderland
1724,Bergeijk,30,Noord-Brabant
893,Bergen (L.),31,Limburg
373,Bergen (NH.),27,Noord-Holland
748,Bergen op Zoom,30,Noord-Brabant
1859,Berkelland,25,Gelderland
1721,Bernheze,30,Noord-Brabant
753,Best,30,Noord-Brabant
209,Beuningen,25,Gelderland
375,Beverwijk,27,Noord-Holland
310,De Bilt,26,Utrecht
1728,Bladel,30,Noord-Brabant
376,Blaricum,27,Noord-Holland
377,Bloemendaal,27,Noord-Holland
1901,Bodegraven-Reeuwijk,28,Zuid-Holland
755,Boekel,30,Noord-Brabant
1681,Borger-Odoorn,22,Drenthe
147,Borne,23,Overijssel
654,Borsele,29,Zeeland
756,Boxmeer,30,Noord-Brabant
757,Boxtel,30,Noord-Brabant
758,Breda,30,Noord-Brabant
501,Brielle,28,Zuid-Holland
1876,Bronckhorst,25,Gelderland
213,Brummen,25,Gelderland
899,Brunssum,31,Limburg
312,Bunnik,26,Utrecht
313,Bunschoten,26,Utrecht
214,Buren,25,Gelderland
502,Capelle aan den IJssel,28,Zuid-Holland
383,Castricum,27,Noord-Holland
109,Coevorden,22,Drenthe
1706,Cranendonck,30,Noord-Brabant
1684,Cuijk,30,Noord-Brabant
216,Culemborg,25,Gelderland
148,Dalfsen,23,Overijssel
1891,Dantumadiel,21,Friesland
503,Delft,28,Zuid-Holland
10,Delfzijl,20,Groningen
762,Deurne,30,Noord-Brabant
150,Deventer,23,Overijssel
384,Diemen,27,Noord-Holland
1774,Dinkelland,23,Overijssel
221,Doesburg,25,Gelderland
222,Doetinchem,25,Gelderland
766,Dongen,30,Noord-Brabant
505,Dordrecht,28,Zuid-Holland
498,Drechterland,27,Noord-Holland
1719,Drimmelen,30,Noord-Brabant
303,Dronten,24,Flevoland
225,Druten,25,Gelderland
226,Duiven,25,Gelderland
1711,Echt-Susteren,31,Limburg
385,Edam-Volendam,27,Noord-Holland
228,Ede,25,Gelderland
317,Eemnes,26,Utrecht
770,Eersel,30,Noord-Brabant
1903,Eijsden-Margraten,31,Limburg
772,Eindhoven,30,Noord-Brabant
230,Elburg,25,Gelderland
114,Emmen,22,Drenthe
388,Enkhuizen,27,Noord-Holland
153,Enschede,23,Overijssel
232,Epe,25,Gelderland
233,Ermelo,25,Gelderland
777,Etten-Leur,30,Noord-Brabant
1940,De Fryske Marren,21,Friesland
779,Geertruidenberg,30,Noord-Brabant
1771,Geldrop-Mierlo,30,Noord-Brabant
1652,Gemert-Bakel,30,Noord-Brabant
907,Gennep,31,Limburg
784,Gilze en Rijen,30,Noord-Brabant
1924,Goeree-Overflakkee,28,Zuid-Holland
664,Goes,29,Zeeland
785,Goirle,30,Noord-Brabant
1942,Gooise Meren,27,Noord-Holland
512,Gorinchem,28,Zuid-Holland
513,Gouda,28,Zuid-Holland
786,Grave,30,Noord-Brabant
518,'s-Gravenhage,28,Zuid-Holland
14,Groningen,20,Groningen
1729,Gulpen-Wittem,31,Limburg
158,Haaksbergen,23,Overijssel
788,Haaren,30,Noord-Brabant
392,Haarlem,27,Noord-Holland
