Datum,NieuwOpgenomen,OverledenCumulatief,Opgenomen,OpgenomenCumulatief,IntensiveCare,IntensiveCareCumulatief
2020-02-12,0,0,1,0,1,0
2020-02-21,0,0,2,0,2,0
2020-02-25,0,0,3,0,3,0
2020-02-28,0,0,3,0,3,0
2020-02-29,0,0,4,0,3,0
2020-03-01,0,0,5,0,4,0
2020-03-03,0,0,6,0,5,0
2020-03-04,0,0,9,0,7,0
2020-03-05,0,0,9,0,7,0
2020-03-06,0,0,12,0,10,0
2020-03-07,0,0,14,0,11,0
2020-03-08,0,0,18,0,15,0
2020-03-09,0,0,22,0,17,0
2020-03-10,0,0,30,0,17,0
2020-03-11,0,0,39,0,20,0
2020-03-12,0,0,60,0,26,0
2020-03-13,0,0,70,0,29,0
2020-03-14,0,0,87,0,37,0
2020-03-15,0,0,112,0,46,0
2020-03-16,0,0,140,0,53,0
2020-03-17,0,0,169,0,55,0
2020-03-18,0,0,220,0,59,0
2020-03-19,0,0,272,0,65,0
2020-03-20,0,0,352,0,66,0
2020-03-21,0,0,419,0,67,0
2020-03-22,0,0,466,0,67,0
2020-03-23,0,0,559,0,68,0
2020-03-24,0,0,638,0,70,0
2020-03-25,0,0,733,0,70,0
2020-03-26,0,0,816,0,70,0
2020-03-27,0,0,903,0,71,0
2020-03-28,0,0,970,0,70,0
2020-03-29,0,0,1022,0,71,0
2020-03-30,0,0,1105,0,70,0
2020-03-31,0,0,1165,0,71,0
2020-04-01,0,0,1173,0,72,0
2020-04-02,0,0,1220,0,72,0
2020-04-03,0,0,1253,0,71,0
2020-04-04,0,0,1248,0,71,0
2020-04-05,0,0,1252,0,71,0
2020-04-06,0,0,1216,0,71,0
