Datum,NieuwOpgenomen,OverledenCumulatief,Opgenomen,OpgenomenCumulatief,IntensiveCare,IntensiveCareCumulatief
2020-02-21,1,0,0,0,0,0
2020-02-25,1,0,0,0,0,0
2020-03-01,1,0,0,0,0,0
2020-03-03,1,0,0,0,0,0
2020-03-04,3,0,0,0,0,0
2020-03-05,1,0,0,0,0,0
2020-03-06,3,0,0,0,0,0
2020-03-07,3,0,0,0,0,0
2020-03-08,5,0,0,0,0,0
2020-03-09,5,0,0,0,0,0
2020-03-10,8,0,0,0,0,0
2020-03-11,6,0,0,0,0,0
2020-03-12,22,0,0,0,0,0
2020-03-13,14,0,0,0,0,0
2020-03-14,17,0,0,0,0,0
2020-03-15,27,0,0,0,0,0
2020-03-16,32,0,0,0,0,0
2020-03-17,35,0,0,0,0,0
2020-03-18,51,0,0,0,0,0
2020-03-19,59,0,0,0,0,0
2020-03-20,86,0,0,0,0,0
2020-03-21,71,0,0,0,0,0
2020-03-22,71,0,0,0,0,0
2020-03-23,102,0,0,0,0,0
2020-03-24,108,0,0,0,0,0
2020-03-25,116,0,0,0,0,0
2020-03-26,100,0,0,0,0,0
2020-03-27,115,0,0,0,0,0
2020-03-28,103,0,0,0,0,0
2020-03-29,95,0,0,0,0,0
2020-03-30,131,0,0,0,0,0
2020-03-31,105,0,0,0,0,0
2020-04-01,76,0,0,0,0,0
2020-04-02,97,0,0,0,0,0
2020-04-03,82,0,0,0,0,0
2020-04-04,54,0,0,0,0,0
2020-04-05,64,0,0,0,0,0
2020-04-06,18,0,0,0,0,0
