Datum,NieuwOpgenomen,OverledenCumulatief,Opgenomen,OpgenomenCumulatief,IntensiveCare,IntensiveCareCumulatief
2020-02-21,1,0,0,1,0,0
2020-02-25,1,0,0,2,0,0
2020-03-01,1,0,0,3,0,0
2020-03-03,1,0,0,4,0,0
2020-03-04,3,0,0,7,0,0
2020-03-05,1,0,0,8,0,0
2020-03-06,3,0,0,11,0,0
2020-03-07,3,0,0,14,0,0
2020-03-08,5,0,0,19,0,0
2020-03-09,5,0,0,24,0,0
2020-03-10,8,0,0,32,0,0
2020-03-11,6,0,0,38,0,0
2020-03-12,22,0,0,60,0,0
2020-03-13,14,0,0,74,0,0
2020-03-14,17,0,0,91,0,0
2020-03-15,27,0,0,118,0,0
2020-03-16,32,0,0,150,0,0
2020-03-17,35,0,0,185,0,0
2020-03-18,51,0,0,236,0,0
2020-03-19,59,0,0,295,0,0
2020-03-20,86,0,0,381,0,0
2020-03-21,71,0,0,452,0,0
2020-03-22,71,0,0,523,0,0
2020-03-23,102,0,0,625,0,0
2020-03-24,108,0,0,733,0,0
2020-03-25,116,0,0,849,0,0
2020-03-26,103,0,0,952,0,0
2020-03-27,117,0,0,1069,0,0
2020-03-28,103,0,0,1172,0,0
2020-03-29,94,0,0,1266,0,0
2020-03-30,136,0,0,1402,0,0
2020-03-31,111,0,0,1513,0,0
2020-04-01,79,0,0,1592,0,0
2020-04-02,97,0,0,1689,0,0
2020-04-03,85,0,0,1774,0,0
2020-04-04,61,0,0,1835,0,0
2020-04-05,75,0,0,1910,0,0
2020-04-06,51,0,0,1961,0,0
2020-04-07,16,0,0,1977,0,0
