Datum,NieuwOpgenomenVerdacht
2020-02-27,0
2020-02-28,1
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,1
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,2
2020-03-10,1
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,1
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,2
2020-03-20,0
2020-03-21,3
2020-03-22,1
2020-03-23,2
2020-03-24,1
2020-03-25,1
2020-03-26,3
2020-03-27,1
2020-03-28,2
2020-03-29,1
2020-03-30,3
2020-03-31,1
2020-04-01,1
2020-04-02,3
2020-04-03,0
2020-04-04,3
2020-04-05,1
2020-04-06,1
2020-04-07,1
2020-04-08,1
2020-04-09,3
2020-04-10,3
2020-04-11,3
2020-04-12,1
2020-04-13,0
2020-04-14,2
2020-04-15,2
2020-04-16,1
2020-04-17,0
2020-04-18,0
2020-04-19,1
2020-04-20,1
2020-04-21,2
2020-04-22,1
2020-04-23,1
2020-04-24,3
2020-04-25,0
2020-04-26,1
2020-04-27,2
2020-04-28,2
2020-04-29,1
2020-04-30,0
2020-05-01,0
2020-05-02,5
2020-05-03,8
2020-05-04,4
