Datum,OverleeftCumulatief
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,2
2020-03-05,2
2020-03-06,2
2020-03-07,3
2020-03-08,3
2020-03-09,3
2020-03-10,3
2020-03-11,3
2020-03-12,3
2020-03-13,4
2020-03-14,6
2020-03-15,6
2020-03-16,7
2020-03-17,7
2020-03-18,10
2020-03-19,10
2020-03-20,12
2020-03-21,14
2020-03-22,17
2020-03-23,19
2020-03-24,22
2020-03-25,26
2020-03-26,36
2020-03-27,42
2020-03-28,46
2020-03-29,57
2020-03-30,66
2020-03-31,82
2020-04-01,100
2020-04-02,114
2020-04-03,136
2020-04-04,149
2020-04-05,158
2020-04-06,180
2020-04-07,201
2020-04-08,225
2020-04-09,253
2020-04-10,279
2020-04-11,298
2020-04-12,314
2020-04-13,329
2020-04-14,378
2020-04-15,429
2020-04-16,477
2020-04-17,521
2020-04-18,543
2020-04-19,549
2020-04-20,604
2020-04-21,654
2020-04-22,697
2020-04-23,742
2020-04-24,801
2020-04-25,818
2020-04-26,825
2020-04-27,835
2020-04-28,882
2020-04-29,918
2020-04-30,957
2020-05-01,996
2020-05-02,1011
2020-05-03,1018
2020-05-04,1057
2020-05-05,1069
2020-05-06,1105
2020-05-07,1141
2020-05-08,1175
2020-05-09,1184
2020-05-10,1187
2020-05-11,1224
2020-05-12,1265
2020-05-13,1298
2020-05-14,1326
2020-05-15,1361
2020-05-16,1371
2020-05-17,1375
2020-05-18,1407
2020-05-19,1438
2020-05-20,1467
2020-05-21,1473
2020-05-22,1505
2020-05-23,1508
2020-05-24,1508
2020-05-25,1530
2020-05-26,1548
2020-05-27,1572
2020-05-28,1601
2020-05-29,1621
2020-05-30,1628
2020-05-31,1628
2020-06-01,1628
2020-06-02,1653
2020-06-03,1673
2020-06-04,1691
2020-06-05,1701
2020-06-06,1703
2020-06-07,1705
2020-06-08,1721
2020-06-09,1732
2020-06-10,1745
2020-06-11,1756
2020-06-12,1764
2020-06-13,1764
2020-06-14,1765
2020-06-15,1783
2020-06-16,1788
2020-06-17,1794
2020-06-18,1801
2020-06-19,1811
2020-06-20,1811
2020-06-21,1811
2020-06-22,1816
2020-06-23,1822
2020-06-24,1829
2020-06-25,1835
2020-06-26,1839
2020-06-27,1839
2020-06-28,1839
2020-06-29,1845
2020-06-30,1851
2020-07-01,1853
2020-07-02,1857
2020-07-03,1865
2020-07-04,1865
2020-07-05,1866
2020-07-06,1870
2020-07-07,1873
2020-07-08,1876
2020-07-09,1879
2020-07-10,1879
2020-07-11,1879
2020-07-12,1881
2020-07-13,1882
2020-07-14,1883
2020-07-15,1887
2020-07-16,1891
2020-07-17,1891
2020-07-18,1891
2020-07-19,1891
2020-07-20,1896
2020-07-21,1898
2020-07-22,1900
2020-07-23,1902
2020-07-24,1905
2020-07-25,1905
2020-07-26,1905
2020-07-27,1906
2020-07-28,1908
2020-07-29,1909
2020-07-30,1912
2020-07-31,1912
2020-08-01,1913
2020-08-02,1913
2020-08-03,1913
2020-08-04,1914
2020-08-05,1916
2020-08-06,1917
2020-08-07,1918
2020-08-08,1918
2020-08-09,1918
2020-08-10,1919
2020-08-11,1920
2020-08-12,1921
2020-08-13,1922
2020-08-14,1922
