Datum,IntensiveCare
2020-02-27,4
2020-02-28,5
2020-02-29,4
2020-03-01,5
2020-03-02,5
2020-03-03,6
2020-03-04,8
2020-03-05,8
2020-03-06,11
2020-03-07,12
2020-03-08,16
2020-03-09,18
2020-03-10,19
2020-03-11,21
2020-03-12,28
2020-03-13,31
2020-03-14,39
2020-03-15,47
2020-03-16,53
2020-03-17,56
2020-03-18,60
2020-03-19,68
2020-03-20,70
2020-03-21,70
2020-03-22,69
2020-03-23,71
2020-03-24,73
2020-03-25,74
2020-03-26,74
2020-03-27,73
2020-03-28,73
2020-03-29,74
2020-03-30,74
2020-03-31,74
2020-04-01,75
2020-04-02,75
2020-04-03,75
2020-04-04,74
2020-04-05,75
2020-04-06,75
2020-04-07,75
2020-04-08,75
2020-04-09,75
2020-04-10,75
2020-04-11,75
2020-04-12,75
2020-04-13,75
2020-04-14,76
2020-04-15,76
2020-04-16,76
2020-04-17,76
2020-04-18,76
2020-04-19,76
2020-04-20,76
2020-04-21,76
2020-04-22,77
2020-04-23,77
2020-04-24,76
2020-04-25,76
2020-04-26,76
2020-04-27,76
2020-04-28,76
2020-04-29,76
2020-04-30,76
2020-05-01,76
2020-05-02,76
2020-05-03,76
2020-05-04,76
2020-05-05,76
2020-05-06,73
2020-05-07,72
2020-05-08,72
2020-05-09,72
2020-05-10,72
2020-05-11,73
2020-05-12,71
2020-05-13,71
2020-05-14,71
2020-05-15,71
2020-05-16,70
2020-05-17,70
2020-05-18,70
2020-05-19,67
2020-05-20,66
2020-05-21,66
2020-05-22,66
2020-05-23,63
2020-05-24,63
2020-05-25,62
2020-05-26,62
2020-05-27,58
2020-05-28,57
2020-05-29,56
2020-05-30,54
2020-05-31,54
2020-06-01,53
2020-06-02,53
2020-06-03,50
2020-06-04,52
2020-06-05,51
2020-06-06,51
2020-06-07,50
2020-06-08,49
2020-06-09,48
2020-06-10,48
2020-06-11,48
2020-06-12,47
2020-06-13,45
2020-06-14,44
2020-06-15,44
2020-06-16,44
2020-06-17,42
2020-06-18,41
2020-06-19,38
2020-06-20,38
2020-06-21,36
2020-06-22,38
2020-06-23,35
2020-06-24,34
2020-06-25,33
2020-06-26,31
2020-06-27,29
2020-06-28,28
2020-06-29,28
2020-06-30,27
2020-07-01,25
2020-07-02,26
2020-07-03,25
2020-07-04,25
2020-07-05,24
2020-07-06,23
2020-07-07,22
2020-07-08,22
2020-07-09,21
2020-07-10,21
2020-07-11,19
2020-07-12,19
2020-07-13,20
2020-07-14,20
2020-07-15,19
2020-07-16,19
2020-07-17,18
2020-07-18,17
2020-07-19,17
2020-07-20,17
2020-07-21,17
2020-07-22,17
2020-07-23,17
2020-07-24,17
2020-07-25,15
2020-07-26,14
2020-07-27,17
2020-07-28,17
2020-07-29,16
2020-07-30,17
2020-07-31,19
2020-08-01,19
2020-08-02,20
2020-08-03,22
2020-08-04,24
2020-08-05,23
2020-08-06,25
2020-08-07,24
2020-08-08,25
2020-08-09,28
2020-08-10,29
2020-08-11,29
2020-08-12,27
2020-08-13,28
2020-08-14,29
2020-08-15,29
2020-08-16,31
2020-08-17,32
2020-08-18,33
2020-08-19,31
2020-08-20,35
2020-08-21,35
2020-08-22,33
2020-08-23,36
2020-08-24,37
2020-08-25,32
2020-08-26,32
2020-08-27,31
2020-08-28,31
2020-08-29,31
2020-08-30,33
2020-08-31,32
2020-09-01,32
2020-09-02,30
2020-09-03,28
2020-09-04,29
2020-09-05,29
