Datum,OpgenomenCumulatief
2020-02-27,7
2020-02-28,8
2020-02-29,9
2020-03-01,11
2020-03-02,11
2020-03-03,13
2020-03-04,16
2020-03-05,18
2020-03-06,22
2020-03-07,25
2020-03-08,31
2020-03-09,39
2020-03-10,49
2020-03-11,59
2020-03-12,82
2020-03-13,96
2020-03-14,114
2020-03-15,143
2020-03-16,176
2020-03-17,212
2020-03-18,266
2020-03-19,331
2020-03-20,418
2020-03-21,499
2020-03-22,573
2020-03-23,676
2020-03-24,788
2020-03-25,907
2020-03-26,1021
2020-03-27,1141
2020-03-28,1246
2020-03-29,1340
2020-03-30,1473
2020-03-31,1584
2020-04-01,1657
2020-04-02,1755
2020-04-03,1834
2020-04-04,1900
2020-04-05,1978
2020-04-06,2041
2020-04-07,2101
2020-04-08,2160
2020-04-09,2212
2020-04-10,2263
2020-04-11,2292
2020-04-12,2327
2020-04-13,2372
2020-04-14,2409
2020-04-15,2434
2020-04-16,2465
2020-04-17,2491
2020-04-18,2509
2020-04-19,2529
2020-04-20,2556
2020-04-21,2578
2020-04-22,2593
2020-04-23,2609
2020-04-24,2628
2020-04-25,2642
2020-04-26,2655
2020-04-27,2669
2020-04-28,2685
2020-04-29,2697
2020-04-30,2716
2020-05-01,2725
2020-05-02,2736
2020-05-03,2747
2020-05-04,2759
2020-05-05,2762
2020-05-06,2768
2020-05-07,2778
2020-05-08,2786
2020-05-09,2791
2020-05-10,2796
2020-05-11,2804
2020-05-12,2806
2020-05-13,2810
2020-05-14,2819
2020-05-15,2824
2020-05-16,2832
2020-05-17,2837
2020-05-18,2841
2020-05-19,2843
2020-05-20,2846
2020-05-21,2848
2020-05-22,2853
2020-05-23,2856
2020-05-24,2863
2020-05-25,2864
2020-05-26,2868
2020-05-27,2872
2020-05-28,2873
2020-05-29,2876
2020-05-30,2878
2020-05-31,2881
2020-06-01,2885
2020-06-02,2886
2020-06-03,2890
2020-06-04,2896
2020-06-05,2899
2020-06-06,2901
2020-06-07,2904
2020-06-08,2905
2020-06-09,2907
2020-06-10,2909
2020-06-11,2910
2020-06-12,2913
2020-06-13,2915
2020-06-14,2915
2020-06-15,2916
2020-06-16,2918
2020-06-17,2918
2020-06-18,2919
2020-06-19,2920
2020-06-20,2922
2020-06-21,2922
2020-06-22,2925
2020-06-23,2926
2020-06-24,2928
2020-06-25,2930
2020-06-26,2930
2020-06-27,2930
2020-06-28,2930
2020-06-29,2930
2020-06-30,2932
2020-07-01,2932
2020-07-02,2934
2020-07-03,2934
2020-07-04,2935
2020-07-05,2935
2020-07-06,2935
2020-07-07,2936
2020-07-08,2938
2020-07-09,2939
2020-07-10,2940
2020-07-11,2941
2020-07-12,2942
2020-07-13,2942
2020-07-14,2942
2020-07-15,2943
2020-07-16,2944
2020-07-17,2944
2020-07-18,2944
2020-07-19,2945
2020-07-20,2945
2020-07-21,2948
2020-07-22,2949
2020-07-23,2950
2020-07-24,2952
2020-07-25,2953
2020-07-26,2955
2020-07-27,2959
2020-07-28,2959
2020-07-29,2959
2020-07-30,2962
2020-07-31,2966
2020-08-01,2968
2020-08-02,2970
2020-08-03,2973
2020-08-04,2976
2020-08-05,2978
2020-08-06,2980
2020-08-07,2981
2020-08-08,2982
2020-08-09,2988
2020-08-10,2992
2020-08-11,2995
2020-08-12,2999
2020-08-13,3003
2020-08-14,3009
2020-08-15,3011
2020-08-16,3017
2020-08-17,3025
2020-08-18,3027
2020-08-19,3030
2020-08-20,3035
2020-08-21,3041
2020-08-22,3041
2020-08-23,3046
2020-08-24,3048
2020-08-25,3051
2020-08-26,3051
2020-08-27,3053
2020-08-28,3054
2020-08-29,3057
2020-08-30,3060
2020-08-31,3062
2020-09-01,3064
2020-09-02,3065
2020-09-03,3070
2020-09-04,3074
2020-09-05,3075
2020-09-06,3079
2020-09-07,3081
2020-09-08,3086
2020-09-09,3089
2020-09-10,3094
2020-09-11,3100
2020-09-12,3107
2020-09-13,3111
2020-09-14,3124
2020-09-15,3134
2020-09-16,3135
