Datum,OverledenCumulatief
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,2
2020-03-09,2
2020-03-10,2
2020-03-11,4
2020-03-12,5
2020-03-13,5
2020-03-14,5
2020-03-15,7
2020-03-16,13
2020-03-17,15
2020-03-18,18
2020-03-19,26
2020-03-20,31
2020-03-21,43
2020-03-22,49
2020-03-23,66
2020-03-24,76
2020-03-25,89
2020-03-26,107
2020-03-27,122
2020-03-28,141
2020-03-29,166
2020-03-30,186
2020-03-31,220
2020-04-01,245
2020-04-02,267
2020-04-03,299
2020-04-04,318
2020-04-05,341
2020-04-06,359
2020-04-07,389
2020-04-08,406
2020-04-09,418
2020-04-10,446
2020-04-11,461
2020-04-12,476
2020-04-13,497
2020-04-14,507
2020-04-15,524
2020-04-16,542
2020-04-17,560
2020-04-18,571
2020-04-19,590
2020-04-20,609
2020-04-21,630
2020-04-22,646
2020-04-23,659
2020-04-24,669
2020-04-25,683
2020-04-26,693
2020-04-27,704
2020-04-28,710
2020-04-29,716
2020-04-30,729
2020-05-01,731
2020-05-02,740
2020-05-03,745
2020-05-04,751
2020-05-05,756
2020-05-06,762
2020-05-07,770
2020-05-08,774
2020-05-09,779
2020-05-10,780
2020-05-11,787
2020-05-12,790
2020-05-13,795
2020-05-14,799
2020-05-15,806
2020-05-16,808
2020-05-17,809
2020-05-18,809
2020-05-19,811
2020-05-20,817
2020-05-21,821
2020-05-22,824
2020-05-23,825
2020-05-24,826
2020-05-25,827
2020-05-26,831
2020-05-27,832
2020-05-28,834
2020-05-29,837
2020-05-30,837
2020-05-31,837
2020-06-01,840
2020-06-02,840
2020-06-03,845
2020-06-04,848
2020-06-05,848
2020-06-06,849
2020-06-07,849
2020-06-08,849
2020-06-09,850
2020-06-10,851
2020-06-11,851
2020-06-12,852
2020-06-13,853
2020-06-14,855
2020-06-15,856
2020-06-16,859
2020-06-17,860
2020-06-18,861
2020-06-19,862
2020-06-20,863
2020-06-21,864
2020-06-22,865
2020-06-23,866
2020-06-24,867
2020-06-25,867
2020-06-26,868
2020-06-27,869
2020-06-28,869
2020-06-29,869
2020-06-30,869
2020-07-01,869
2020-07-02,870
2020-07-03,870
2020-07-04,870
2020-07-05,870
2020-07-06,871
2020-07-07,872
2020-07-08,872
2020-07-09,872
2020-07-10,872
2020-07-11,872
2020-07-12,873
2020-07-13,874
2020-07-14,874
2020-07-15,874
2020-07-16,874
2020-07-17,874
2020-07-18,874
2020-07-19,874
2020-07-20,875
2020-07-21,875
2020-07-22,876
2020-07-23,876
2020-07-24,876
2020-07-25,876
2020-07-26,876
2020-07-27,876
2020-07-28,876
2020-07-29,877
2020-07-30,877
2020-07-31,879
2020-08-01,879
2020-08-02,879
2020-08-03,879
2020-08-04,881
2020-08-05,881
2020-08-06,882
2020-08-07,882
2020-08-08,882
2020-08-09,884
2020-08-10,884
2020-08-11,885
2020-08-12,885
2020-08-13,885
2020-08-14,885
2020-08-15,886
2020-08-16,886
2020-08-17,888
2020-08-18,888
2020-08-19,888
2020-08-20,889
2020-08-21,890
2020-08-22,890
2020-08-23,890
2020-08-24,891
2020-08-25,891
2020-08-26,891
2020-08-27,891
2020-08-28,892
2020-08-29,892
2020-08-30,893
2020-08-31,895
2020-09-01,896
2020-09-02,896
2020-09-03,896
2020-09-04,897
2020-09-05,897
2020-09-06,897
2020-09-07,897
2020-09-08,898
2020-09-09,899
2020-09-10,900
2020-09-11,900
2020-09-12,900
2020-09-13,900
2020-09-14,901
2020-09-15,902
2020-09-16,903
2020-09-17,903
2020-09-18,903
2020-09-19,904
2020-09-20,905
2020-09-21,908
2020-09-22,908
2020-09-23,909
2020-09-24,910
2020-09-25,912
2020-09-26,913
2020-09-27,914
2020-09-28,917
2020-09-29,919
2020-09-30,922
2020-10-01,926
2020-10-02,926
2020-10-03,928
2020-10-04,933
2020-10-05,936
2020-10-06,938
2020-10-07,942
2020-10-08,945
2020-10-09,956
2020-10-10,959
2020-10-11,966
2020-10-12,970
2020-10-13,973
2020-10-14,980
2020-10-15,982
2020-10-16,994
2020-10-17,1000
2020-10-18,1005
2020-10-19,1010
2020-10-20,1018
2020-10-21,1028
2020-10-22,1036
2020-10-23,1052
2020-10-24,1060
2020-10-25,1075
2020-10-26,1081
2020-10-27,1093
2020-10-28,1099
2020-10-29,1108
2020-10-30,1119
2020-10-31,1136
2020-11-01,1146
2020-11-02,1156
2020-11-03,1168
2020-11-04,1181
2020-11-05,1197
2020-11-06,1212
2020-11-07,1225
2020-11-08,1236
2020-11-09,1248
2020-11-10,1264
2020-11-11,1273
2020-11-12,1279
