Datum,Opgenomen
2020-02-27,12
2020-02-28,13
2020-02-29,14
2020-03-01,16
2020-03-02,15
2020-03-03,17
2020-03-04,20
2020-03-05,20
2020-03-06,24
2020-03-07,26
2020-03-08,32
2020-03-09,37
2020-03-10,45
2020-03-11,53
2020-03-12,73
2020-03-13,84
2020-03-14,102
2020-03-15,125
2020-03-16,156
2020-03-17,186
2020-03-18,235
2020-03-19,294
2020-03-20,369
2020-03-21,437
2020-03-22,486
2020-03-23,577
2020-03-24,659
2020-03-25,758
2020-03-26,844
2020-03-27,930
2020-03-28,993
2020-03-29,1040
2020-03-30,1124
2020-03-31,1189
2020-04-01,1209
2020-04-02,1252
2020-04-03,1280
2020-04-04,1286
2020-04-05,1310
2020-04-06,1318
2020-04-07,1322
2020-04-08,1288
2020-04-09,1283
2020-04-10,1291
2020-04-11,1257
2020-04-12,1239
2020-04-13,1222
2020-04-14,1199
2020-04-15,1174
2020-04-16,1140
2020-04-17,1110
2020-04-18,1065
2020-04-19,1036
2020-04-20,1017
2020-04-21,981
2020-04-22,924
2020-04-23,882
2020-04-24,865
2020-04-25,834
2020-04-26,809
2020-04-27,787
2020-04-28,766
2020-04-29,738
2020-04-30,714
2020-05-01,679
2020-05-02,641
2020-05-03,627
2020-05-04,618
2020-05-05,576
2020-05-06,549
2020-05-07,527
2020-05-08,496
2020-05-09,474
2020-05-10,456
2020-05-11,450
2020-05-12,408
2020-05-13,390
2020-05-14,364
2020-05-15,348
2020-05-16,332
2020-05-17,325
2020-05-18,320
2020-05-19,287
2020-05-20,277
2020-05-21,256
2020-05-22,245
2020-05-23,229
2020-05-24,228
2020-05-25,218
2020-05-26,195
2020-05-27,181
2020-05-28,173
2020-05-29,163
2020-05-30,154
2020-05-31,156
2020-06-01,154
2020-06-02,149
2020-06-03,136
2020-06-04,134
2020-06-05,131
2020-06-06,129
2020-06-07,128
2020-06-08,127
2020-06-09,119
2020-06-10,116
2020-06-11,112
2020-06-12,109
2020-06-13,107
2020-06-14,106
2020-06-15,105
2020-06-16,96
2020-06-17,88
2020-06-18,81
2020-06-19,76
2020-06-20,74
2020-06-21,70
2020-06-22,72
2020-06-23,65
2020-06-24,61
2020-06-25,60
2020-06-26,54
2020-06-27,49
2020-06-28,45
2020-06-29,45
2020-06-30,45
2020-07-01,41
2020-07-02,43
2020-07-03,40
2020-07-04,41
2020-07-05,39
2020-07-06,39
2020-07-07,37
2020-07-08,34
2020-07-09,34
2020-07-10,35
2020-07-11,33
2020-07-12,34
2020-07-13,33
2020-07-14,30
2020-07-15,30
2020-07-16,29
2020-07-17,29
2020-07-18,28
2020-07-19,29
2020-07-20,29
2020-07-21,31
2020-07-22,31
2020-07-23,29
2020-07-24,27
2020-07-25,24
2020-07-26,24
2020-07-27,28
2020-07-28,28
2020-07-29,27
2020-07-30,29
2020-07-31,32
2020-08-01,33
2020-08-02,34
2020-08-03,37
2020-08-04,39
2020-08-05,38
2020-08-06,40
2020-08-07,40
2020-08-08,41
2020-08-09,46
2020-08-10,45
2020-08-11,48
2020-08-12,48
2020-08-13,45
2020-08-14,50
2020-08-15,48
2020-08-16,49
2020-08-17,58
2020-08-18,53
2020-08-19,52
2020-08-20,53
2020-08-21,57
2020-08-22,53
2020-08-23,56
2020-08-24,56
2020-08-25,51
2020-08-26,49
2020-08-27,49
2020-08-28,47
2020-08-29,47
2020-08-30,52
2020-08-31,51
2020-09-01,47
2020-09-02,45
2020-09-03,47
2020-09-04,51
2020-09-05,47
2020-09-06,51
2020-09-07,52
2020-09-08,53
2020-09-09,52
2020-09-10,55
2020-09-11,60
2020-09-12,64
2020-09-13,66
2020-09-14,77
2020-09-15,77
2020-09-16,72
2020-09-17,72
2020-09-18,76
2020-09-19,88
2020-09-20,100
2020-09-21,109
2020-09-22,116
2020-09-23,124
2020-09-24,131
2020-09-25,145
2020-09-26,150
2020-09-27,161
2020-09-28,168
2020-09-29,178
2020-09-30,182
2020-10-01,187
2020-10-02,187
2020-10-03,196
2020-10-04,208
2020-10-05,222
2020-10-06,243
2020-10-07,256
2020-10-08,261
2020-10-09,278
2020-10-10,277
2020-10-11,283
2020-10-12,307
2020-10-13,326
2020-10-14,343
2020-10-15,363
2020-10-16,401
2020-10-17,396
2020-10-18,416
2020-10-19,454
2020-10-20,481
2020-10-21,496
2020-10-22,509
2020-10-23,523
2020-10-24,531
2020-10-25,545
2020-10-26,570
2020-10-27,584
2020-10-28,602
2020-10-29,611
2020-10-30,620
2020-10-31,628
2020-11-01,634
2020-11-02,660
2020-11-03,658
2020-11-04,662
2020-11-05,657
2020-11-06,653
2020-11-07,644
2020-11-08,648
2020-11-09,651
2020-11-10,651
2020-11-11,648
2020-11-12,652
2020-11-13,654
2020-11-14,622
2020-11-15,624
2020-11-16,620
2020-11-17,607
2020-11-18,591
2020-11-19,594
2020-11-20,586
2020-11-21,571
2020-11-22,568
2020-11-23,569
2020-11-24,563
2020-11-25,569
2020-11-26,564
2020-11-27,547
2020-11-28,539
2020-11-29,524
2020-11-30,521
2020-12-01,514
2020-12-02,513
2020-12-03,502
2020-12-04,513
2020-12-05,508
2020-12-06,511
2020-12-07,507
2020-12-08,516
2020-12-09,511
2020-12-10,517
2020-12-11,512
2020-12-12,509
2020-12-13,535
2020-12-14,540
2020-12-15,554
2020-12-16,564
2020-12-17,590
2020-12-18,596
2020-12-19,608
2020-12-20,627
2020-12-21,626
2020-12-22,634
2020-12-23,653
2020-12-24,655
2020-12-25,647
2020-12-26,661
2020-12-27,675
2020-12-28,711
2020-12-29,733
2020-12-30,746
2020-12-31,743
2021-01-01,732
2021-01-02,735
2021-01-03,737
2021-01-04,755
2021-01-05,751
2021-01-06,738
2021-01-07,739
2021-01-08,735
2021-01-09,715
2021-01-10,714
2021-01-11,726
2021-01-12,730
2021-01-13,735
2021-01-14,720
2021-01-15,712
2021-01-16,692
2021-01-17,700
2021-01-18,709
2021-01-19,699
2021-01-20,693
2021-01-21,699
2021-01-22,693
2021-01-23,679
2021-01-24,675
2021-01-25,695
2021-01-26,691
2021-01-27,665
2021-01-28,664
2021-01-29,661
2021-01-30,646
2021-01-31,663
2021-02-01,666
