Gemeentecode,Aantal,Gemeente,Provinciecode,Provincie,Datum
796,72,'s-Hertogenbosch,30,Noord-Brabant,2020-04-02
1680,1,Aa en Hunze,22,Drenthe,2020-04-02
358,6,Aalsmeer,27,Noord-Holland,2020-04-02
197,1,Aalten,25,Gelderland,2020-04-02
59,0,Achtkarspelen,21,Friesland,2020-04-02
482,3,Alblasserdam,28,Zuid-Holland,2020-04-02
613,5,Albrandswaard,28,Zuid-Holland,2020-04-02
361,24,Alkmaar,27,Noord-Holland,2020-04-02
141,12,Almelo,23,Overijssel,2020-04-02
34,61,Almere,24,Flevoland,2020-04-02
484,33,Alphen aan den Rijn,28,Zuid-Holland,2020-04-02
1723,10,Alphen-Chaam,30,Noord-Brabant,2020-04-02
1959,19,Altena,30,Noord-Brabant,2020-04-02
60,0,Ameland,21,Friesland,2020-04-02
307,28,Amersfoort,26,Utrecht,2020-04-02
362,31,Amstelveen,27,Noord-Holland,2020-04-02
363,263,Amsterdam,27,Noord-Holland,2020-04-02
200,22,Apeldoorn,25,Gelderland,2020-04-02
3,1,Appingedam,20,Groningen,2020-04-02
202,33,Arnhem,25,Gelderland,2020-04-02
106,7,Assen,22,Drenthe,2020-04-02
743,6,Asten,30,Noord-Brabant,2020-04-02
744,1,Baarle-Nassau,30,Noord-Brabant,2020-04-02
308,4,Baarn,26,Utrecht,2020-04-02
489,18,Barendrecht,28,Zuid-Holland,2020-04-02
203,8,Barneveld,25,Gelderland,2020-04-02
888,7,Beek,31,Limburg,2020-04-02
1954,28,Beekdaelen,31,Limburg,2020-04-02
370,2,Beemster,27,Noord-Holland,2020-04-02
889,11,Beesel,31,Limburg,2020-04-02
1945,19,Berg en Dal,25,Gelderland,2020-04-02
1724,5,Bergeijk,30,Noord-Brabant,2020-04-02
893,3,Bergen (L.),31,Limburg,2020-04-02
373,11,Bergen (NH.),27,Noord-Holland,2020-04-02
748,13,Bergen op Zoom,30,Noord-Brabant,2020-04-02
1859,1,Berkelland,25,Gelderland,2020-04-02
1721,65,Bernheze,30,Noord-Brabant,2020-04-02
753,21,Best,30,Noord-Brabant,2020-04-02
209,14,Beuningen,25,Gelderland,2020-04-02
375,7,Beverwijk,27,Noord-Holland,2020-04-02
