Gemeentecode,Opgenomen,Gemeente,Provinciecode,Provincie,Datum
796,102,'s-Hertogenbosch,30,Noord-Brabant,2020-04-09
1680,1,Aa en Hunze,22,Drenthe,2020-04-09
358,8,Aalsmeer,27,Noord-Holland,2020-04-09
197,1,Aalten,25,Gelderland,2020-04-09
59,0,Achtkarspelen,21,Friesland,2020-04-09
482,7,Alblasserdam,28,Zuid-Holland,2020-04-09
613,6,Albrandswaard,28,Zuid-Holland,2020-04-09
361,40,Alkmaar,27,Noord-Holland,2020-04-09
141,16,Almelo,23,Overijssel,2020-04-09
34,84,Almere,24,Flevoland,2020-04-09
484,46,Alphen aan den Rijn,28,Zuid-Holland,2020-04-09
1723,15,Alphen-Chaam,30,Noord-Brabant,2020-04-09
1959,24,Altena,30,Noord-Brabant,2020-04-09
60,0,Ameland,21,Friesland,2020-04-09
307,43,Amersfoort,26,Utrecht,2020-04-09
362,40,Amstelveen,27,Noord-Holland,2020-04-09
363,344,Amsterdam,27,Noord-Holland,2020-04-09
200,33,Apeldoorn,25,Gelderland,2020-04-09
3,2,Appingedam,20,Groningen,2020-04-09
202,49,Arnhem,25,Gelderland,2020-04-09
106,9,Assen,22,Drenthe,2020-04-09
743,9,Asten,30,Noord-Brabant,2020-04-09
744,1,Baarle-Nassau,30,Noord-Brabant,2020-04-09
308,7,Baarn,26,Utrecht,2020-04-09
489,24,Barendrecht,28,Zuid-Holland,2020-04-09
203,11,Barneveld,25,Gelderland,2020-04-09
888,12,Beek,31,Limburg,2020-04-09
1954,37,Beekdaelen,31,Limburg,2020-04-09
370,4,Beemster,27,Noord-Holland,2020-04-09
889,15,Beesel,31,Limburg,2020-04-09
1945,27,Berg en Dal,25,Gelderland,2020-04-09
1724,9,Bergeijk,30,Noord-Brabant,2020-04-09
893,5,Bergen (L.),31,Limburg,2020-04-09
373,16,Bergen (NH.),27,Noord-Holland,2020-04-09
748,16,Bergen op Zoom,30,Noord-Brabant,2020-04-09
1859,2,Berkelland,25,Gelderland,2020-04-09
1721,75,Bernheze,30,Noord-Brabant,2020-04-09
753,25,Best,30,Noord-Brabant,2020-04-09
209,17,Beuningen,25,Gelderland,2020-04-09
375,10,Beverwijk,27,Noord-Holland,2020-04-09
1728,13,Bladel,30,Noord-Brabant,2020-04-09
376,5,Blaricum,27,Noord-Holland,2020-04-09
377,5,Bloemendaal,27,Noord-Holland,2020-04-09
1901,6,Bodegraven-Reeuwijk,28,Zuid-Holland,2020-04-09
755,28,Boekel,30,Noord-Brabant,2020-04-09
1681,2,Borger-Odoorn,22,Drenthe,2020-04-09
147,13,Borne,23,Overijssel,2020-04-09
654,4,Borsele,29,Zeeland,2020-04-09
756,16,Boxmeer,30,Noord-Brabant,2020-04-09
757,15,Boxtel,30,Noord-Brabant,2020-04-09
758,132,Breda,30,Noord-Brabant,2020-04-09
501,9,Brielle,28,Zuid-Holland,2020-04-09
1876,4,Bronckhorst,25,Gelderland,2020-04-09
213,8,Brummen,25,Gelderland,2020-04-09
899,29,Brunssum,31,Limburg,2020-04-09
312,7,Bunnik,26,Utrecht,2020-04-09
313,4,Bunschoten,26,Utrecht,2020-04-09
214,7,Buren,25,Gelderland,2020-04-09
502,27,Capelle aan den IJssel,28,Zuid-Holland,2020-04-09
383,13,Castricum,27,Noord-Holland,2020-04-09
109,9,Coevorden,22,Drenthe,2020-04-09
1706,48,Cranendonck,30,Noord-Brabant,2020-04-09
1684,9,Cuijk,30,Noord-Brabant,2020-04-09
216,20,Culemborg,25,Gelderland,2020-04-09
148,15,Dalfsen,23,Overijssel,2020-04-09
1891,2,Dantumadiel,21,Friesland,2020-04-09
310,19,De Bilt,26,Utrecht,2020-04-09
1940,12,De Fryske Marren,21,Friesland,2020-04-09
736,24,De Ronde Venen,26,Utrecht,2020-04-09
