Date_of_report,Municipality_code,Municipality_name,Province,Total_reported,Hospital_admission,Deceased
2020-10-05 10:00:00,GM0003,Appingedam,Groningen,21,3,0
2020-10-05 10:00:00,GM0010,Delfzijl,Groningen,75,6,0
2020-10-05 10:00:00,GM0014,Groningen,Groningen,1602,19,3
2020-10-05 10:00:00,GM0024,Loppersum,Groningen,18,0,0
2020-10-05 10:00:00,GM0034,Almere,Flevoland,1582,141,37
2020-10-05 10:00:00,GM0037,Stadskanaal,Groningen,68,2,2
2020-10-05 10:00:00,GM0047,Veendam,Groningen,63,2,1
2020-10-05 10:00:00,GM0050,Zeewolde,Flevoland,116,12,6
2020-10-05 10:00:00,GM0059,Achtkarspelen,Friesland,52,0,0
2020-10-05 10:00:00,GM0060,Ameland,Friesland,10,0,0
2020-10-05 10:00:00,GM0072,Harlingen,Friesland,33,4,1
2020-10-05 10:00:00,GM0074,Heerenveen,Friesland,174,13,21
2020-10-05 10:00:00,GM0080,Leeuwarden,Friesland,591,37,6
2020-10-05 10:00:00,GM0085,Ooststellingwerf,Friesland,25,3,1
2020-10-05 10:00:00,GM0086,Opsterland,Friesland,60,7,0
2020-10-05 10:00:00,GM0088,Schiermonnikoog,Friesland,0,0,0
2020-10-05 10:00:00,GM0090,Smallingerland,Friesland,112,9,5
2020-10-05 10:00:00,GM0093,Terschelling,Friesland,9,0,0
2020-10-05 10:00:00,GM0096,Vlieland,Friesland,6,0,0
2020-10-05 10:00:00,GM0098,Weststellingwerf,Friesland,70,3,4
2020-10-05 10:00:00,GM0106,Assen,Drenthe,165,12,2
2020-10-05 10:00:00,GM0109,Coevorden,Drenthe,106,13,2
2020-10-05 10:00:00,GM0114,Emmen,Drenthe,479,24,14
2020-10-05 10:00:00,GM0118,Hoogeveen,Drenthe,162,21,8
2020-10-05 10:00:00,GM0119,Meppel,Drenthe,116,11,5
2020-10-05 10:00:00,GM0141,Almelo,Overijssel,313,27,10
2020-10-05 10:00:00,GM0147,Borne,Overijssel,88,14,6
2020-10-05 10:00:00,GM0148,Dalfsen,Overijssel,159,16,7
