Date_of_report,Date_of_publication,Municipality_code,Municipality_name,Province,Security_region_code,Security_region_name,Municipal_health_service,ROAZ_region,Total_reported,Hospital_admission,Deceased
2021-10-25 10:00:00,2021-09-17,GM0014,Groningen,Groningen,VR01,Groningen,GGD Groningen,Acute Zorgnetwerk Noord Nederland,10.0,0.0,0.0
2021-10-25 10:00:00,2021-09-17,GM0034,Almere,Flevoland,VR25,Flevoland,GGD Flevoland,SpoedZorgNet,51.0,0.0,0.0
2021-10-25 10:00:00,2021-09-17,GM0037,Stadskanaal,Groningen,VR01,Groningen,GGD Groningen,Acute Zorgnetwerk Noord Nederland,1.0,0.0,0.0
2021-10-25 10:00:00,2021-09-17,GM0047,Veendam,Groningen,VR01,Groningen,GGD Groningen,Acute Zorgnetwerk Noord Nederland,4.0,0.0,0.0
2021-10-25 10:00:00,2021-09-17,GM0050,Zeewolde,Flevoland,VR25,Flevoland,GGD Flevoland,SpoedZorgNet,1.0,0.0,0.0
2021-10-25 10:00:00,2021-09-17,GM0059,Achtkarspelen,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,9.0,0.0,0.0
2021-10-25 10:00:00,2021-09-17,GM0060,Ameland,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,0.0,0.0,0.0
2021-10-25 10:00:00,2021-09-17,GM0072,Harlingen,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,2.0,0.0,0.0
2021-10-25 10:00:00,2021-09-17,GM0074,Heerenveen,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,4.0,0.0,0.0
2021-10-25 10:00:00,2021-09-17,GM0080,Leeuwarden,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,19.0,0.0,0.0
2021-10-25 10:00:00,2021-09-17,GM0085,Ooststellingwerf,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,1.0,0.0,0.0
2021-10-25 10:00:00,2021-09-17,GM0086,Opsterland,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,2.0,0.0,0.0
2021-10-25 10:00:00,2021-09-17,GM0088,Schiermonnikoog,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,0.0,0.0,0.0
2021-10-25 10:00:00,2021-09-17,GM0090,Smallingerland,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,9.0,0.0,0.0
2021-10-25 10:00:00,2021-09-17,GM0093,Terschelling,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,0.0,0.0,0.0
2021-10-25 10:00:00,2021-09-17,GM0096,Vlieland,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,0.0,0.0,0.0
2021-10-25 10:00:00,2021-09-17,GM0098,Weststellingwerf,Frysl̢n,VR02,Frysl̢n,GGD Frysl̢n,Acute Zorgnetwerk Noord Nederland,1.0,0.0,0.0
2021-10-25 10:00:00,2021-09-17,GM0106,Assen,Drenthe,VR03,Drenthe,GGD Drenthe,Acute Zorgnetwerk Noord Nederland,5.0,0.0,0.0
2021-10-25 10:00:00,2021-09-17,GM0109,Coevorden,Drenthe,VR03,Drenthe,GGD Drenthe,Acute Zorgnetwerk Noord Nederland,3.0,0.0,0.0
2021-10-25 10:00:00,2021-09-17,GM0114,Emmen,Drenthe,VR03,Drenthe,GGD Drenthe,Acute Zorgnetwerk Noord Nederland,22.0,0.0,0.0
2021-10-25 10:00:00,2021-09-17,GM0118,Hoogeveen,Drenthe,VR03,Drenthe,GGD Drenthe,Acute Zorgnetwerk Noord Nederland,9.0,0.0,1.0
2021-10-25 10:00:00,2021-09-17,GM0119,Meppel,Drenthe,VR03,Drenthe,GGD Drenthe,Netwerk Acute Zorg regio Zwolle,4.0,0.0,0.0
2021-10-25 10:00:00,2021-09-17,GM0141,Almelo,Overijssel,VR05,Twente,GGD Twente,Acute Zorg Euregio,4.0,0.0,0.0
2021-10-25 10:00:00,2021-09-17,GM0147,Borne,Overijssel,VR05,Twente,GGD Twente,Acute Zorg Euregio,2.0,0.0,0.0
2021-10-25 10:00:00,2021-09-17,GM0148,Dalfsen,Overijssel,VR04,IJsselland,GGD IJsselland,Netwerk Acute Zorg regio Zwolle,1.0,0.0,0.0
2021-10-25 10:00:00,2021-09-17,GM0150,Deventer,Overijssel,VR04,IJsselland,GGD IJsselland,Netwerk Acute Zorg regio Zwolle,2.0,0.0,0.0
2021-10-25 10:00:00,2021-09-17,GM0153,Enschede,Overijssel,VR05,Twente,GGD Twente,Acute Zorg Euregio,30.0,1.0,0.0
2021-10-25 10:00:00,2021-09-17,GM0158,Haaksbergen,Overijssel,VR05,Twente,GGD Twente,Acute Zorg Euregio,0.0,0.0,0.0
2021-10-25 10:00:00,2021-09-17,GM0160,Hardenberg,Overijssel,VR04,IJsselland,GGD IJsselland,Netwerk Acute Zorg regio Zwolle,4.0,0.0,0.0
2021-10-25 10:00:00,2021-09-17,GM0163,Hellendoorn,Overijssel,VR05,Twente,GGD Twente,Acute Zorg Euregio,4.0,0.0,0.0
2021-10-25 10:00:00,2021-09-17,GM0164,Hengelo (O.),Overijssel,VR05,Twente,GGD Twente,Acute Zorg Euregio,5.0,0.0,0.0
2021-10-25 10:00:00,2021-09-17,GM0166,Kampen,Overijssel,VR04,IJsselland,GGD IJsselland,Netwerk Acute Zorg regio Zwolle,1.0,0.0,0.0
